,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_controvflag,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,gaia_dist,gaia_disterr1,gaia_disterr2,gaia_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_cbflag,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,pl_facility,st_age,st_ageerr1,st_ageerr2,st_agelim,st_j,st_jerr,st_jlim,st_k,st_kerr,st_klim,pl_rade,TSM,good_TSM,ESM,webb approved,HST approved,chen_kipping,hst approved
3295,Kepler-669,b,Kepler-669 b,Transit,0,1,4.12554687,3.1e-06,-3.1e-06,0.0,,,,,,,,,,,,,,,,,,0.431,0.114,-0.049,0.0,,,,,0,1,0,1,19h27m44.68s,291.936173,+49d15m14.3s,49.253986,1778.0,463.31,-208.21,0.0,2198.4,153.69,-153.69,0.0,15.505999999999998,,0.0,Kepler-band,15.482000000000001,,0.0,6038.0,97.84,-109.18,0.0,1.15,0.1,-0.07,0.0,1.2,0.32,-0.13,0.0,2016-05-10,0,,,,,Kepler,3.16,1.3,-1.55,,14.38,0.028999999999999998,0.0,14.198,0.086,0.0,4.831042417897499,7.967064894949923,False,,False,,,False
3296,Kepler-67,b,Kepler-67 b,Transit,0,1,15.7259,0.00011,-0.00011,0.0,0.1171,0.0015,-0.0015,0.0,,,,,,,,,,,,,,0.262,0.013999999999999999,-0.013999999999999999,0.0,,,,,0,1,0,1,19h36m36.80s,294.15333599999997,+46d09m59.2s,46.166438,1107.0,90.0,-90.0,0.0,1165.55,69.0,-69.0,0.0,16.4,,0.0,V (Johnson),16.172,,0.0,5331.0,63.0,-63.0,0.0,0.86,0.03,-0.03,0.0,0.78,0.03,-0.03,0.0,2014-05-14,0,,,,,Kepler,1.0,0.17,-0.17,,14.741,0.034,0.0,14.155,0.065,0.0,2.9367357621557884,4.443259203943824,False,,False,,,False
3297,Kepler-670,b,Kepler-670 b,Transit,0,1,2.81650485,1.5e-07,-1.5e-07,0.0,,,,,,,,,,,,,,,,,,1.176,0.262,-0.10800000000000001,0.0,,,,,0,1,0,1,19h48m03.71s,297.015468,+49d13m31.1s,49.225291999999996,980.0,218.34,-97.82,0.0,965.64,18.77,-18.77,0.0,15.052,,0.0,Kepler-band,15.027000000000001,,0.0,5709.0,89.42,-134.39,0.0,0.99,0.05,-0.06,0.0,0.99,0.22,-0.09,0.0,2016-05-10,0,,,,,Kepler,4.79,3.69,-2.94,,13.732000000000001,0.023,0.0,13.315,0.039,0.0,13.181684184332852,,False,,False,,,False
3298,Kepler-671,b,Kepler-671 b,Transit,0,1,4.28095859,6.48e-06,-6.48e-06,0.0,,,,,,,,,,,,,,,,,,0.24,0.044000000000000004,-0.018000000000000002,0.0,,,,,0,1,0,1,19h37m03.79s,294.265808,+49d18m50.7s,49.314091,1139.0,200.13,-87.05,0.0,1207.94,44.85,-44.85,0.0,15.356,,0.0,Kepler-band,15.357999999999999,,0.0,5624.0,74.83,-91.38,0.0,0.97,0.05,-0.04,0.0,0.95,0.17,-0.07,0.0,2016-05-10,0,,,,,Kepler,4.47,4.89,-2.8,,14.120999999999999,0.025,0.0,13.769,0.054000000000000006,0.0,2.690139629455684,6.173503552529129,False,,False,,,False
3299,Kepler-672,b,Kepler-672 b,Transit,0,1,38.3774623,0.0001555,-0.0001555,0.0,,,,,,,,,,,,,,,,,,0.223,0.028999999999999998,-0.016,0.0,,,,,1,1,0,1,19h26m53.28s,291.722008,+49d28m51.2s,49.480877,1011.0,127.59,-74.15,0.0,1065.51,22.97,-22.97,0.0,15.172,,0.0,Kepler-band,15.130999999999998,,0.0,5627.0,75.47,-79.72,0.0,0.95,0.04,-0.05,0.0,0.92,0.11,-0.06,0.0,2016-05-10,0,,,,,Kepler,4.07,4.56,-2.41,,13.962,0.025,0.0,13.497,0.047,0.0,2.4995880723692396,3.0618573595927843,False,,False,,,False
3300,Kepler-673,b,Kepler-673 b,Transit,0,1,3.72873109,9.3e-07,-9.3e-07,0.0,,,,,,,,,,,,,,,,,,0.583,0.047,-0.043,0.0,,,,,0,1,0,1,19h23m08.58s,290.785759,+50d03m14.8s,50.054119,978.0,79.56,-65.42,0.0,942.85,22.75,-22.75,0.0,15.523,,0.0,Kepler-band,15.505999999999998,,0.0,5355.0,60.4,-71.68,0.0,0.88,0.04,-0.05,0.0,0.84,0.07,-0.05,0.0,2016-05-10,0,,,,,Kepler,4.47,6.32,-2.76,,14.179,0.032,0.0,13.669,0.048,0.0,6.534797516552765,21.197059637722806,False,,False,,,False
3301,Kepler-674,b,Kepler-674 b,Transit,0,1,2.24338185,2.72e-06,-2.72e-06,0.0,,,,,,,,,,,,,,,,,,0.151,0.009000000000000001,-0.006,0.0,,,,,0,1,0,1,19h00m42.29s,285.17621099999997,+50d08m59.3s,50.149817999999996,302.0,18.81,-17.56,0.0,345.64,3.3,-3.3,0.0,15.135,,0.0,Kepler-band,15.127,,0.0,4192.0,40.95,-42.83,0.0,0.6,0.04,-0.04,0.0,0.57,0.03,-0.02,0.0,2016-05-10,0,,,,,Kepler,3.31,5.36,-1.74,,13.213,0.025,0.0,12.394,0.026000000000000002,0.0,1.6925461835325344,11.066036291968192,False,,False,,,False
3302,Kepler-675,b,Kepler-675 b,Transit,0,1,2.33743801,2.07e-06,-2.07e-06,0.0,,,,,,,,,,,,,,,,,,0.218,0.021,-0.013999999999999999,0.0,,,,,0,1,0,1,19h35m20.00s,293.833326,+50d13m49.3s,50.230354,651.0,31.74,-38.06,0.0,678.42,14.03,-14.03,0.0,15.334000000000001,,0.0,Kepler-band,15.335999999999999,,0.0,4945.0,69.87,-70.99,0.0,0.79,0.04,-0.04,0.0,0.75,0.03,-0.04,0.0,2016-05-10,0,,,,,Kepler,4.68,6.06,-2.76,,13.81,0.022000000000000002,0.0,13.195,0.037000000000000005,0.0,2.44354349675558,9.977522696391194,False,,False,,,False
3303,Kepler-676,b,Kepler-676 b,Transit,0,1,11.59822172,1.399e-05,-1.399e-05,0.0,,,,,,,,,,,,,,,,,,0.271,0.012,-0.03,0.0,,,,,0,1,0,1,19h44m53.27s,296.22197,+50d17m14.1s,50.287237,243.0,14.91,-16.72,0.0,297.7,2.83,-2.83,0.0,15.937000000000001,,0.0,Kepler-band,15.879000000000001,,0.0,3701.0,39.31,-40.14,0.0,0.51,0.02,-0.03,0.0,0.49,0.02,-0.03,0.0,2016-05-10,0,,,,,Kepler,4.27,5.85,-2.52,,13.474,0.022000000000000002,0.0,12.628,0.027000000000000003,0.0,3.0376159982603768,14.033680432842534,False,,False,,,False
3304,Kepler-677,b,Kepler-677 b,Transit,0,1,6.57531678,3.69e-06,-3.69e-06,0.0,,,,,,,,,,,,,,,,,,0.48,0.10400000000000001,-0.037000000000000005,0.0,,,,,0,1,0,1,19h20m23.54s,290.098067,+50d19m17.8s,50.321609,1180.0,252.65,-99.12,0.0,2073.78,114.33,-114.33,0.0,15.312000000000001,,0.0,Kepler-band,15.297,,0.0,5723.0,68.82,-87.95,0.0,1.0,0.05,-0.05,0.0,0.99,0.21,-0.08,0.0,2016-05-10,0,,,,,Kepler,4.57,3.8,-2.8,,14.071,0.028999999999999998,0.0,13.686,0.039,0.0,5.380279258911368,11.710599265266815,False,,False,,,False
